province;red;green;blue;x;x
74;010;052;255;Nexoria0074;x
75;138;054;000;Nexoria0075;x
76;010;056;064;Nexoria0076;x
77;139;058;128;Nexoria0077;x
78;011;060;192;Nexoria0078;x
79;139;062;255;Nexoria0079;x
80;011;064;000;Nexoria0080;x
81;139;066;064;Nexoria0081;x
82;011;068;128;Nexoria0082;x
83;139;070;192;Nexoria0083;x
84;012;072;255;Nexoria0084;x
85;140;074;000;Nexoria0085;x
86;012;076;064;Nexoria0086;x
87;140;078;128;Nexoria0087;x
88;012;080;192;Nexoria0088;x
89;140;082;255;Nexoria0089;x
90;012;084;000;Nexoria0090;x
91;141;086;064;Nexoria0091;x
92;013;088;128;Nexoria0092;x
93;141;090;192;Nexoria0093;x
94;013;092;255;Nexoria0094;x
95;141;094;000;Nexoria0095;x
96;013;096;064;Nexoria0096;x
97;141;098;128;Nexoria0097;x
98;014;100;192;Nexoria0098;x
99;142;102;255;Nexoria0099;x
100;014;104;000;Nexoria0100;x
101;142;106;064;Nexoria0101;x
102;014;108;128;Nexoria0102;x
103;085;080;032;Nexoria0103;x
104;014;112;255;Nexoria0104;x
105;143;114;000;Nexoria0105;x
106;015;116;064;Nexoria0106;x
107;143;118;128;Nexoria0107;x
108;015;120;192;Nexoria0108;x
109;143;122;255;Nexoria0109;x
110;015;124;000;Nexoria0110;x
111;143;126;064;Nexoria0111;x
112;016;128;128;Nexoria0112;x
113;144;130;192;Nexoria0113;x
114;016;132;255;Nexoria0114;x
115;144;134;000;Nexoria0115;x
116;016;136;064;Nexoria0116;x
117;144;138;128;Nexoria0117;x
118;016;140;192;Nexoria0118;x
119;145;142;255;Nexoria0119;x
120;017;144;000;Nexoria0120;x
121;145;146;064;Nexoria0121;x
122;017;148;128;Nexoria0122;x
123;145;150;192;Nexoria0123;x
124;017;152;255;Nexoria0124;x
125;145;154;000;Nexoria0125;x
126;018;156;064;Nexoria0126;x
127;146;158;128;Nexoria0127;x
128;018;032;192;Nexoria0128;x
129;146;034;255;Nexoria0129;x
130;018;036;000;Nexoria0130;x
131;146;038;064;Nexoria0131;x
132;018;040;128;Nexoria0132;x
133;147;042;192;Nexoria0133;x
134;019;044;255;Nexoria0134;x
135;147;046;000;Nexoria0135;x
136;019;048;064;Nexoria0136;x
137;147;050;128;Nexoria0137;x
138;019;052;192;Nexoria0138;x
139;147;054;255;Nexoria0139;x
140;020;056;000;Nexoria0140;x
141;148;058;064;Nexoria0141;x
142;020;060;128;Nexoria0142;x
143;148;062;192;Nexoria0143;x
144;020;064;255;Nexoria0144;x
145;148;066;000;Nexoria0145;x
146;020;068;064;Nexoria0146;x
147;149;070;128;Nexoria0147;x
148;021;072;192;Nexoria0148;x
149;149;074;255;Nexoria0149;x
150;021;076;000;Nexoria0150;x
151;149;078;064;Nexoria0151;x
152;021;080;128;Nexoria0152;x
153;149;082;192;Nexoria0153;x
154;022;084;255;Nexoria0154;x
155;150;086;000;Nexoria0155;x
156;022;088;064;Nexoria0156;x
157;150;090;128;Nexoria0157;x
158;022;092;192;Nexoria0158;x
159;150;094;255;Nexoria0159;x
160;022;096;000;Nexoria0160;x
161;151;098;064;Nexoria0161;x
162;023;100;128;Nexoria0162;x
163;151;102;192;Nexoria0163;x
164;023;104;255;Nexoria0164;x
165;151;106;000;Nexoria0165;x
166;023;108;064;Nexoria0166;x
167;151;110;128;Nexoria0167;x
168;024;112;192;Nexoria0168;x
169;152;114;255;Nexoria0169;x
170;024;116;000;Nexoria0170;x
171;152;118;064;Nexoria0171;x
172;024;120;128;Nexoria0172;x
173;152;122;192;Nexoria0173;x
174;024;124;255;Nexoria0174;x
175;153;126;000;Nexoria0175;x
176;025;128;064;Nexoria0176;x
177;153;130;128;Nexoria0177;x
178;025;132;192;Nexoria0178;x
179;153;134;255;Nexoria0179;x
180;025;136;000;Nexoria0180;x
181;153;138;064;Nexoria0181;x
182;026;140;128;Nexoria0182;x
183;154;142;192;Nexoria0183;x
184;026;144;255;Nexoria0184;x
185;147;222;218;Nexoria0185;x
186;026;148;064;Nexoria0186;x
187;154;150;128;Nexoria0187;x
188;026;152;192;Nexoria0188;x
189;155;154;255;Nexoria0189;x
190;027;156;000;Nexoria0190;x
191;155;158;064;Nexoria0191;x
192;027;032;128;Nexoria0192;x
193;155;034;192;Nexoria0193;x
194;027;036;255;Nexoria0194;x
195;155;038;000;Nexoria0195;x
196;028;040;064;Nexoria0196;x
197;156;042;128;Nexoria0197;x
198;028;044;192;Nexoria0198;x
199;156;046;255;Nexoria0199;x
200;028;248;000;Nexoria0200;x
201;156;050;064;Nexoria0201;x
202;028;052;128;Nexoria0202;x
203;157;054;192;Nexoria0203;x
204;029;056;255;Nexoria0204;x
205;157;058;000;Nexoria0205;x
206;029;060;064;Nexoria0206;x
207;157;062;128;Nexoria0207;x
208;029;064;192;Nexoria0208;x
209;157;066;255;Nexoria0209;x
210;030;068;000;Nexoria0210;x
211;158;070;064;Nexoria0211;x
212;030;072;128;Nexoria0212;x
213;158;074;192;Nexoria0213;x
214;030;076;255;Nexoria0214;x
215;158;078;000;Nexoria0215;x
216;030;080;064;Nexoria0216;x
217;159;082;128;Nexoria0217;x
218;031;084;192;Nexoria0218;x
219;159;086;255;Nexoria0219;x
220;031;088;000;Nexoria0220;x
221;159;090;064;Nexoria0221;x
222;031;092;128;Nexoria0222;x
223;159;094;192;Nexoria0223;x
224;032;096;255;Nexoria0224;x
225;160;098;000;Nexoria0225;x
226;032;100;064;Nexoria0226;x
227;160;102;128;Nexoria0227;x
228;032;104;192;Nexoria0228;x
229;160;106;255;Nexoria0229;x
230;032;108;000;Nexoria0230;x
231;161;110;064;Nexoria0231;x
232;033;112;128;Nexoria0232;x
233;166;203;093;Nexoria0233;x
234;033;116;255;Nexoria0234;x
235;161;118;000;Nexoria0235;x
236;033;120;064;Nexoria0236;x
237;161;122;128;Nexoria0237;x
238;034;124;192;Nexoria0238;x
239;162;126;255;Nexoria0239;x
240;034;128;000;Nexoria0240;x
241;162;130;064;Nexoria0241;x
242;034;132;128;Nexoria0242;x
243;162;134;192;Nexoria0243;x
244;034;136;255;Nexoria0244;x
245;163;138;000;Nexoria0245;x
246;035;140;064;Nexoria0246;x
247;163;142;128;Nexoria0247;x
248;035;144;192;Nexoria0248;x
249;163;146;255;Nexoria0249;x
250;035;148;000;Nexoria0250;x
251;163;150;064;Nexoria0251;x
252;036;152;128;Nexoria0252;x
253;164;154;192;Nexoria0253;x
254;036;156;255;Nexoria0254;x
255;164;158;000;Nexoria0255;x
256;036;032;064;Nexoria0256;x
257;164;034;128;Nexoria0257;x
258;036;036;192;Nexoria0258;x
259;165;038;255;Nexoria0259;x
260;037;040;000;Nexoria0260;x
261;165;042;064;Nexoria0261;x
262;037;044;128;Nexoria0262;x
263;165;046;192;Nexoria0263;x
264;037;048;255;Nexoria0264;x
265;165;050;000;Nexoria0265;x
266;038;052;064;Nexoria0266;x
267;166;054;128;Nexoria0267;x
268;038;056;192;Nexoria0268;x
269;166;058;255;Nexoria0269;x
270;038;060;000;Nexoria0270;x
271;166;062;064;Nexoria0271;x
272;038;064;128;Nexoria0272;x
273;167;066;192;Nexoria0273;x
274;039;068;255;Nexoria0274;x
275;167;070;000;Nexoria0275;x
276;039;072;064;Nexoria0276;x
277;167;074;128;Nexoria0277;x
278;039;076;192;Nexoria0278;x
279;167;078;255;Nexoria0279;x
280;040;080;000;Nexoria0280;x
281;168;082;064;Nexoria0281;x
282;040;084;128;Nexoria0282;x
283;168;086;192;Nexoria0283;x
284;040;088;255;Nexoria0284;x
285;168;090;000;Nexoria0285;x
286;040;092;064;Nexoria0286;x
287;169;094;128;Nexoria0287;x
288;041;096;192;Nexoria0288;x
289;169;098;255;Nexoria0289;x
290;041;100;000;Nexoria0290;x
291;169;102;064;Nexoria0291;x
292;041;104;128;Nexoria0292;x
293;169;106;192;Nexoria0293;x
294;042;108;255;Nexoria0294;x
295;170;110;000;Nexoria0295;x
296;042;112;064;Nexoria0296;x
297;074;227;077;Nexoria0297;x
298;042;116;192;Nexoria0298;x
299;170;118;255;Nexoria0299;x
300;042;120;000;Nexoria0300;x
301;171;122;064;Nexoria0301;x
302;043;124;128;Nexoria0302;x
303;171;126;192;Nexoria0303;x
304;043;128;255;Nexoria0304;x
305;171;130;000;Nexoria0305;x
306;043;132;064;Nexoria0306;x
307;171;134;128;Nexoria0307;x
308;044;136;192;Nexoria0308;x
309;172;138;255;Nexoria0309;x
310;044;140;000;Nexoria0310;x
311;172;142;064;Nexoria0311;x
312;044;144;128;Nexoria0312;x
313;072;000;240;Nexoria0313;x
314;044;148;255;Nexoria0314;x
315;173;150;000;Nexoria0315;x
316;045;152;064;Nexoria0316;x
317;173;154;128;Nexoria0317;x
318;045;156;192;Nexoria0318;x
319;173;158;255;Nexoria0319;x
320;045;032;000;Nexoria0320;x
321;173;034;064;Nexoria0321;x
322;046;036;128;Nexoria0322;x
323;174;038;192;Nexoria0323;x
324;046;040;255;Nexoria0324;x
325;174;042;000;Nexoria0325;x
326;046;044;064;Nexoria0326;x
327;174;046;128;Nexoria0327;x
328;046;048;192;Nexoria0328;x
329;175;050;255;Nexoria0329;x
330;047;052;000;Nexoria0330;x
331;175;054;064;Nexoria0331;x
332;047;056;128;Nexoria0332;x
333;175;058;192;Nexoria0333;x
334;047;060;255;Nexoria0334;x
335;175;062;000;Nexoria0335;x
336;048;244;064;Nexoria0336;x
337;176;066;128;Nexoria0337;x
338;048;068;192;Nexoria0338;x
339;176;070;255;Nexoria0339;x
340;048;072;000;Nexoria0340;x
341;176;074;064;Nexoria0341;x
342;048;076;128;Nexoria0342;x
343;177;078;192;Nexoria0343;x
344;049;080;255;Nexoria0344;x
345;177;082;000;Nexoria0345;x
346;049;084;064;Nexoria0346;x
347;177;086;128;Nexoria0347;x
348;049;088;192;Nexoria0348;x
349;177;090;255;Nexoria0349;x
350;050;092;000;Nexoria0350;x
351;178;094;064;Nexoria0351;x
352;050;096;128;Nexoria0352;x
353;178;098;192;Nexoria0353;x
354;050;100;255;Nexoria0354;x
355;178;102;000;Nexoria0355;x
356;050;104;064;Nexoria0356;x
357;179;106;128;Nexoria0357;x
358;051;108;192;Nexoria0358;x
359;179;110;255;Nexoria0359;x
360;051;112;000;Nexoria0360;x
361;179;114;064;Nexoria0361;x
362;051;116;128;Nexoria0362;x
363;179;118;192;Nexoria0363;x
364;052;120;255;Nexoria0364;x
365;180;122;000;Nexoria0365;x
366;052;124;064;Nexoria0366;x
367;180;126;128;Nexoria0367;x
368;052;128;192;Nexoria0368;x
369;180;130;255;Nexoria0369;x
370;052;132;000;Nexoria0370;x
371;181;134;064;Nexoria0371;x
372;053;136;128;Nexoria0372;x
373;181;138;192;Nexoria0373;x
374;053;140;255;Nexoria0374;x
375;181;142;000;Nexoria0375;x
376;053;144;064;Nexoria0376;x
377;181;146;128;Nexoria0377;x
378;054;148;192;Nexoria0378;x
379;182;150;255;Nexoria0379;x
380;054;152;000;Nexoria0380;x
381;182;154;064;Nexoria0381;x
382;054;156;128;Nexoria0382;x
383;182;158;192;Nexoria0383;x
384;054;032;255;Nexoria0384;x
385;183;034;000;Nexoria0385;x
386;055;036;064;Nexoria0386;x
387;183;038;128;Nexoria0387;x
388;055;040;192;Nexoria0388;x
389;183;042;255;Nexoria0389;x
390;055;044;000;Nexoria0390;x
391;183;046;064;Nexoria0391;x
392;056;048;128;Nexoria0392;x
393;184;050;192;Nexoria0393;x
394;056;052;255;Nexoria0394;x
395;184;054;000;Nexoria0395;x
396;056;056;064;Nexoria0396;x
397;184;058;128;Nexoria0397;x
398;056;060;192;Nexoria0398;x
399;185;062;255;Nexoria0399;x
400;057;064;000;Nexoria0400;x
401;185;066;064;Nexoria0401;x
402;057;068;128;Nexoria0402;x
403;185;070;192;Nexoria0403;x
404;057;072;255;Nexoria0404;x
405;185;074;000;Nexoria0405;x
406;058;076;064;Nexoria0406;x
407;186;078;128;Nexoria0407;x
408;058;080;192;Nexoria0408;x
409;186;082;255;Nexoria0409;x
410;058;084;000;Nexoria0410;x
411;186;086;064;Nexoria0411;x
412;058;088;128;Nexoria0412;x
413;187;090;192;Nexoria0413;x
414;059;092;255;Nexoria0414;x
415;187;094;000;Nexoria0415;x
416;059;096;064;Nexoria0416;x
417;187;098;128;Nexoria0417;x
418;059;100;192;Nexoria0418;x
419;187;102;255;Nexoria0419;x
420;060;140;000;Nexoria0420;x
421;188;106;064;Nexoria0421;x
422;060;108;128;Nexoria0422;x
423;188;110;192;Nexoria0423;x
424;060;112;255;Nexoria0424;x
425;188;114;000;Nexoria0425;x
426;060;116;064;Nexoria0426;x
427;189;118;128;Nexoria0427;x
428;061;120;192;Nexoria0428;x
429;189;122;255;Nexoria0429;x
430;061;124;000;Nexoria0430;x
431;189;126;064;Nexoria0431;x
432;061;128;128;Nexoria0432;x
433;189;130;192;Nexoria0433;x
434;062;132;255;Nexoria0434;x
435;190;134;000;Nexoria0435;x
436;062;136;064;Nexoria0436;x
437;190;138;128;Nexoria0437;x
438;062;140;192;Nexoria0438;x
439;190;142;255;Nexoria0439;x
440;062;144;000;Nexoria0440;x
441;191;146;064;Nexoria0441;x
442;063;148;128;Nexoria0442;x
443;191;150;192;Nexoria0443;x
444;063;152;255;Nexoria0444;x
445;191;154;000;Nexoria0445;x
446;063;156;064;Nexoria0446;x
447;191;158;128;Nexoria0447;x
448;064;032;192;Nexoria0448;x
449;192;034;255;Nexoria0449;x
450;064;036;000;Nexoria0450;x
451;192;038;064;Nexoria0451;x
452;064;040;128;Nexoria0452;x
453;192;042;192;Nexoria0453;x
454;064;044;255;Nexoria0454;x
455;193;046;000;Nexoria0455;x
456;065;048;064;Nexoria0456;x
457;193;050;128;Nexoria0457;x
458;065;052;192;Nexoria0458;x
459;193;054;255;Nexoria0459;x
460;065;056;000;Nexoria0460;x
461;193;058;064;Nexoria0461;x
462;066;060;128;Nexoria0462;x
463;194;062;192;Nexoria0463;x
464;066;064;255;Nexoria0464;x
465;194;066;000;Nexoria0465;x
466;066;068;064;Nexoria0466;x
467;194;070;128;Nexoria0467;x
468;066;072;192;Nexoria0468;x
469;195;074;255;Nexoria0469;x
470;067;076;000;Nexoria0470;x
471;195;078;064;Nexoria0471;x
472;067;080;128;Nexoria0472;x
473;195;082;192;Nexoria0473;x
474;067;084;255;Nexoria0474;x
475;195;086;000;Nexoria0475;x
476;068;088;064;Nexoria0476;x
477;196;090;128;Nexoria0477;x
478;068;092;192;Nexoria0478;x
479;196;094;255;Nexoria0479;x
480;068;096;000;Nexoria0480;x
481;196;098;064;Nexoria0481;x
482;068;100;128;Nexoria0482;x
483;197;102;192;Nexoria0483;x
484;069;104;255;Nexoria0484;x
485;197;106;000;Nexoria0485;x
486;069;108;064;Nexoria0486;x
487;197;110;128;Nexoria0487;x
488;069;112;192;Nexoria0488;x
489;197;114;255;Nexoria0489;x
490;070;116;000;Nexoria0490;x
491;198;118;064;Nexoria0491;x
492;070;120;128;Nexoria0492;x
493;198;122;192;Nexoria0493;x
494;070;124;255;Nexoria0494;x
495;198;126;000;Nexoria0495;x
496;070;128;064;Nexoria0496;x
497;199;130;128;Nexoria0497;x
498;071;132;192;Nexoria0498;x
499;199;134;255;Nexoria0499;x
500;071;136;000;Nexoria0500;x
501;199;138;064;Nexoria0501;x
502;071;140;128;Nexoria0502;x
503;199;142;192;Nexoria0503;x
504;072;144;255;Nexoria0504;x
505;200;146;000;Nexoria0505;x
506;072;148;064;Nexoria0506;x
507;200;150;128;Nexoria0507;x
508;072;152;192;Nexoria0508;x
509;200;154;255;Nexoria0509;x
510;072;156;000;Nexoria0510;x
511;201;158;064;Nexoria0511;x
512;073;032;128;Nexoria0512;x
513;201;034;192;Nexoria0513;x
514;073;036;255;Nexoria0514;x
515;201;038;000;Nexoria0515;x
516;073;040;064;Nexoria0516;x
517;201;042;128;Nexoria0517;x
518;074;044;192;Nexoria0518;x
519;202;046;255;Nexoria0519;x
520;074;048;000;Nexoria0520;x
521;202;050;064;Nexoria0521;x
522;074;052;128;Nexoria0522;x
523;202;054;192;Nexoria0523;x
524;074;056;255;Nexoria0524;x
525;203;058;000;Nexoria0525;x
526;075;060;064;Nexoria0526;x
527;203;062;128;Nexoria0527;x
528;075;064;192;Nexoria0528;x
529;203;066;255;Nexoria0529;x
530;075;068;000;Nexoria0530;x
531;203;070;064;Nexoria0531;x
532;076;072;128;Nexoria0532;x
533;204;074;192;Nexoria0533;x
534;076;076;255;Nexoria0534;x
535;204;078;000;Nexoria0535;x
536;076;080;064;Nexoria0536;x
537;204;082;128;Nexoria0537;x
538;076;084;192;Nexoria0538;x
539;205;086;255;Nexoria0539;x
540;077;088;000;Nexoria0540;x
541;205;090;064;Nexoria0541;x
542;077;092;128;Nexoria0542;x
543;205;094;192;Nexoria0543;x
544;077;096;255;Nexoria0544;x
545;205;098;000;Nexoria0545;x
546;078;100;064;Nexoria0546;x
547;206;102;128;Nexoria0547;x
548;078;104;192;Nexoria0548;x
549;206;106;255;Nexoria0549;x
550;078;108;000;Nexoria0550;x
551;206;110;064;Nexoria0551;x
552;078;112;128;Nexoria0552;x
553;207;114;192;Nexoria0553;x
554;079;116;255;Nexoria0554;x
555;207;118;000;Nexoria0555;x
556;079;120;064;Nexoria0556;x
557;207;122;128;Nexoria0557;x
558;079;124;192;Nexoria0558;x
559;207;126;255;Nexoria0559;x
560;080;128;000;Nexoria0560;x
561;208;130;064;Nexoria0561;x
562;080;132;128;Nexoria0562;x
563;208;134;192;Nexoria0563;x
564;080;136;255;Nexoria0564;x
565;208;138;000;Nexoria0565;x
566;080;140;064;Nexoria0566;x
567;209;142;128;Nexoria0567;x
568;081;144;192;Nexoria0568;x
569;209;146;255;Nexoria0569;x
570;081;148;000;Nexoria0570;x
571;209;150;064;Nexoria0571;x
572;081;152;128;Nexoria0572;x
573;209;154;192;Nexoria0573;x
574;082;156;255;Nexoria0574;x
575;210;158;000;Nexoria0575;x
576;082;032;064;Nexoria0576;x
577;210;034;128;Nexoria0577;x
578;082;036;192;Nexoria0578;x
579;210;038;255;Nexoria0579;x
580;082;040;000;Nexoria0580;x
581;211;042;064;Nexoria0581;x
582;083;044;128;Nexoria0582;x
583;211;046;192;Nexoria0583;x
584;083;048;255;Nexoria0584;x
585;211;050;000;Nexoria0585;x
586;083;052;064;Nexoria0586;x
587;211;054;128;Nexoria0587;x
588;084;056;192;Nexoria0588;x
589;212;058;255;Nexoria0589;x
590;084;060;000;Nexoria0590;x
591;212;062;064;Nexoria0591;x
592;084;064;128;Nexoria0592;x
593;212;066;192;Nexoria0593;x
594;084;068;255;Nexoria0594;x
595;213;070;000;Nexoria0595;x
596;085;072;064;Nexoria0596;x
597;213;074;128;Nexoria0597;x
598;085;076;192;Nexoria0598;x
599;213;078;255;Nexoria0599;x
600;085;080;000;Nexoria0600;x
601;213;082;064;Nexoria0601;x
602;086;084;128;Nexoria0602;x
603;214;086;192;Nexoria0603;x
604;086;088;255;Nexoria0604;x
605;214;090;000;Nexoria0605;x
606;086;092;064;Nexoria0606;x
607;214;094;128;Nexoria0607;x
608;086;096;192;Nexoria0608;x
609;215;098;255;Nexoria0609;x
610;087;100;000;Nexoria0610;x
611;215;102;064;Nexoria0611;x
612;087;104;128;Nexoria0612;x
613;215;106;192;Nexoria0613;x
614;087;108;255;Nexoria0614;x
615;215;110;000;Nexoria0615;x
616;088;112;064;Nexoria0616;x
617;216;114;128;Nexoria0617;x
618;088;116;192;Nexoria0618;x
619;216;118;255;Nexoria0619;x
620;088;120;000;Nexoria0620;x
621;216;122;064;Nexoria0621;x
622;088;124;128;Nexoria0622;x
623;217;126;192;Nexoria0623;x
624;089;128;255;Nexoria0624;x
625;217;130;000;Nexoria0625;x
626;089;132;064;Nexoria0626;x
627;217;134;128;Nexoria0627;x
628;089;136;192;Nexoria0628;x
629;217;138;255;Nexoria0629;x
630;090;140;000;Nexoria0630;x
631;218;142;064;Nexoria0631;x
632;090;144;128;Nexoria0632;x
633;218;146;192;Nexoria0633;x
634;090;148;255;Nexoria0634;x
635;218;150;000;Nexoria0635;x
636;090;152;064;Nexoria0636;x
637;219;154;128;Nexoria0637;x
638;091;156;192;Nexoria0638;x
639;219;158;255;Nexoria0639;x
640;091;032;000;Nexoria0640;x
641;219;034;064;Nexoria0641;x
642;091;036;128;Nexoria0642;x
643;219;038;192;Nexoria0643;x
644;092;040;255;Nexoria0644;x
645;220;042;000;Nexoria0645;x
646;092;044;064;Nexoria0646;x
647;220;046;128;Nexoria0647;x
648;092;048;192;Nexoria0648;x
649;220;050;255;Nexoria0649;x
650;092;052;000;Nexoria0650;x
651;221;054;064;Nexoria0651;x
652;093;056;128;Nexoria0652;x
653;221;058;192;Nexoria0653;x
654;093;060;255;Nexoria0654;x
655;221;062;000;Nexoria0655;x
656;093;064;064;Nexoria0656;x
657;221;066;128;Nexoria0657;x
658;094;068;192;Nexoria0658;x
659;222;070;255;Nexoria0659;x
660;094;072;000;Nexoria0660;x
661;222;074;064;Nexoria0661;x
662;094;076;128;Nexoria0662;x
663;222;078;192;Nexoria0663;x
664;094;080;255;Nexoria0664;x
665;223;082;000;Nexoria0665;x
666;095;084;064;Nexoria0666;x
667;223;086;128;Nexoria0667;x
668;095;088;192;Nexoria0668;x
669;223;090;255;Nexoria0669;x
670;095;092;000;Nexoria0670;x
671;223;094;064;Nexoria0671;x
672;096;096;128;Nexoria0672;x
673;224;098;192;Nexoria0673;x
674;096;100;255;Nexoria0674;x
675;224;102;000;Nexoria0675;x
676;096;104;064;Nexoria0676;x
677;224;106;128;Nexoria0677;x
678;096;108;192;Nexoria0678;x
679;225;110;255;Nexoria0679;x
680;097;112;000;Nexoria0680;x
681;225;114;064;Nexoria0681;x
682;097;116;128;Nexoria0682;x
683;225;118;192;Nexoria0683;x
684;097;120;255;Nexoria0684;x
685;225;122;000;Nexoria0685;x
686;098;124;064;Nexoria0686;x
687;226;126;128;Nexoria0687;x
688;098;128;192;Nexoria0688;x
689;226;130;255;Nexoria0689;x
690;098;132;000;Nexoria0690;x
691;226;134;064;Nexoria0691;x
692;098;136;128;Nexoria0692;x
693;227;138;192;Nexoria0693;x
694;099;140;255;Nexoria0694;x
695;227;142;000;Nexoria0695;x
696;099;144;064;Nexoria0696;x
697;227;146;128;Nexoria0697;x
698;099;148;192;Nexoria0698;x
699;227;150;255;Nexoria0699;x
700;100;152;000;Nexoria0700;x
701;228;154;064;Nexoria0701;x
702;100;156;128;Nexoria0702;x
703;228;158;192;Nexoria0703;x
704;100;032;255;Nexoria0704;x
705;228;034;000;Nexoria0705;x
706;100;036;064;Nexoria0706;x
707;229;038;128;Nexoria0707;x
708;101;040;192;Nexoria0708;x
709;229;042;255;Nexoria0709;x
710;101;044;000;Nexoria0710;x
711;229;046;064;Nexoria0711;x
712;101;048;128;Nexoria0712;x
713;229;050;192;Nexoria0713;x
714;102;052;255;Nexoria0714;x
715;230;054;000;Nexoria0715;x
716;102;056;064;Nexoria0716;x
717;230;058;128;Nexoria0717;x
718;102;060;192;Nexoria0718;x
719;230;062;255;Nexoria0719;x
720;102;064;000;Nexoria0720;x
721;231;066;064;Nexoria0721;x
722;103;068;128;Nexoria0722;x
723;231;070;192;Nexoria0723;x
724;103;072;255;Nexoria0724;x
725;231;074;000;Nexoria0725;x
726;103;076;064;Nexoria0726;x
727;231;078;128;Nexoria0727;x
728;104;080;192;Nexoria0728;x
729;232;082;255;Nexoria0729;x
730;104;084;000;Nexoria0730;x
731;232;086;064;Nexoria0731;x
732;104;088;128;Nexoria0732;x
733;232;090;192;Nexoria0733;x
734;104;092;255;Nexoria0734;x
735;153;134;173;Nexoria0735;x
736;217;164;164;Nexoria0736;x
737;233;098;128;Nexoria0737;x
738;105;100;192;Nexoria0738;x
739;233;102;255;Nexoria0739;x
740;105;104;000;Nexoria0740;x
741;233;106;064;Nexoria0741;x
742;106;108;128;Nexoria0742;x
743;234;110;192;Nexoria0743;x
744;106;112;255;Nexoria0744;x
745;234;114;000;Nexoria0745;x
746;106;116;064;Nexoria0746;x
747;234;118;128;Nexoria0747;x
748;106;120;192;Nexoria0748;x
749;235;122;255;Nexoria0749;x
750;107;124;000;Nexoria0750;x
751;235;126;064;Nexoria0751;x
752;107;128;128;Nexoria0752;x
753;235;130;192;Nexoria0753;x
754;107;132;255;Nexoria0754;x
755;235;134;000;Nexoria0755;x
756;108;136;064;Nexoria0756;x
757;236;138;128;Nexoria0757;x
758;108;140;192;Nexoria0758;x
759;236;142;255;Nexoria0759;x
760;108;144;000;Nexoria0760;x
761;236;146;064;Nexoria0761;x
762;108;148;128;Nexoria0762;x
763;237;150;192;Nexoria0763;x
764;109;152;255;Nexoria0764;x
765;237;154;000;Nexoria0765;x
766;109;156;064;Nexoria0766;x
767;237;158;128;Nexoria0767;x
768;109;032;192;Nexoria0768;x
769;237;034;255;Nexoria0769;x
770;110;036;000;Nexoria0770;x
771;238;038;064;Nexoria0771;x
772;110;040;128;Nexoria0772;x
773;238;042;192;Nexoria0773;x
774;110;044;255;Nexoria0774;x
775;238;046;000;Nexoria0775;x
776;110;048;064;Nexoria0776;x
